depth_m,azimuth_rad,altitude_rad,velocity_mps
94.6892624,-0.261799395,0.112199746,4.66350365
55.2472,-0.261799395,0.186999574,4.61119604
38.5380363,-0.261799395,0.261799395,4.53310061
95.4023361,-0.186999574,0.112199746,5.30858898
54.4937286,-0.186999574,0.186999574,5.2490468
38.5380363,-0.186999574,0.261799395,5.16014957
95.4023361,-0.112199731,0.112199746,5.92398834
54.2961693,-0.112199731,0.186999574,5.85754299
38.5380363,-0.112199731,0.261799395,5.75833988
95.4023285,-0.0373999104,0.112199746,6.50625658
54.0271873,-0.0373999104,0.186999574,6.43328094
38.5973663,-0.0373999104,0.261799395,6.32432795
95.4169846,0.0373999253,0.112199746,7.05214071
53.8016815,0.0373999253,0.186999574,6.97304249
38.7562675,0.0373999253,0.261799395,6.85494757
95.6741104,0.112199746,0.112199746,7.55858517
53.6761703,0.112199746,0.186999574,7.47380638
38.6068382,0.112199746,0.261799395,7.34723091
95.6320496,0.186999574,0.112199746,8.02275944
53.4734077,0.186999574,0.186999574,7.93277454
38.504509,0.186999574,0.261799395,7.79842567
95.5153885,0.261799395,0.112199746,8.44206715
53.9897995,0.261799395,0.186999574,8.34737873
37.8048172,0.261799395,0.261799395,8.20600891
